window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,35.75,64.0,341.256,845.227,15.959,24,57.955,6.93,4,3.0,0.267,3.591,97.125,3.875,0,,
1,15000,37.44,64.0,290.388,844.08,9.455,25,56.8,8.367,1,3.0,0.067,3.38,267.0,2.5,0,,
2,30000,33.218,64.0,266.593,830.618,16.331,24,56.055,8.815,4,3.5,0.267,3.4,246.6,4.7,0,,
3,45000,30.889,64.0,270.83,875.796,10.847,28,58.352,10.094,0,,0.0,3.574,,,0,,
4,60000,36.529,64.0,289.58,868.706,14.948,23,56.627,7.64,3,3.333,0.2,3.176,186.429,7.0,2,104.0,2.0
5,75000,36.929,64.0,257.945,936.0,22.826,24,57.946,7.945,6,3.5,0.4,3.482,87.467,6.933,0,,
6,90000,36.023,64.0,334.81,846.628,7.211,23,52.442,6.0,3,3.0,0.2,3.279,245.5,5.833,0,,
7,105000,33.186,64.0,255.155,846.508,19.494,27,57.136,8.517,3,3.333,0.2,3.424,82.286,6.286,0,,
8,120000,29.34,64.0,259.346,926.189,16.208,20,54.792,7.154,3,3.0,0.2,3.472,123.833,7.667,0,,
9,135000,33.176,64.0,901.875,761.353,17.588,20,55.118,7.875,0,,0.0,2.588,,,0,,
10,150000,42.879,64.0,260.474,643.379,15.595,25,58.0,7.439,6,3.333,0.4,3.207,197.0,2.286,0,,
11,165000,52.05,64.0,185.304,640.788,11.911,25,58.4,7.924,7,3.429,0.467,3.875,191.118,4.882,0,,
12,180000,44.922,64.0,224.54,1043.5,17.287,24,58.453,8.73,1,3.0,0.067,4.75,41.5,7.5,0,,
13,195000,37.933,64.0,497.621,773.8,1.744,34,53.833,8.241,1,4.0,0.067,2.3,245.333,6.667,0,,
14,210000,35.903,64.0,237.934,785.484,14.273,32,62.081,8.738,3,4.0,0.2,3.339,94.111,3.333,0,,
15,225000,42.0,64.0,384.833,1504.324,37.145,41,70.432,11.722,1,3.0,0.067,3.595,62.5,4.0,0,,
16,240000,31.5,64.0,300.979,872.896,7.309,29,59.854,6.362,3,3.0,0.2,3.521,122.667,6.0,0,,
17,255000,33.333,64.0,417.75,1244.788,9.393,18,49.939,5.312,1,3.0,0.067,3.061,83.5,7.0,0,,
18,270000,59.079,64.0,197.307,572.053,6.622,25,58.684,7.52,4,3.0,0.267,3.947,209.125,2.875,0,,
19,285000,49.272,64.0,158.648,534.38,16.187,29,60.293,8.758,5,3.2,0.333,3.946,173.0,5.091,0,,
20,300000,52.932,64.0,170.103,653.648,14.402,31,56.364,9.0,6,3.0,0.4,4.295,195.083,6.917,0,,
21,315000,32.476,64.0,219.645,722.079,13.821,23,55.381,7.339,2,4.5,0.133,3.556,211.143,4.429,0,,
22,330000,32.565,64.0,217.118,546.58,5.729,24,56.0,6.338,6,3.0,0.4,3.188,153.25,4.167,0,,
23,345000,29.41,64.0,245.95,733.721,9.139,25,57.377,7.683,7,3.571,0.467,3.393,157.444,5.889,0,,
24,360000,30.5,64.0,221.051,764.05,19.973,24,57.083,8.186,6,3.667,0.4,3.567,143.688,5.75,0,,
25,375000,38.974,64.0,193.52,671.855,9.737,25,59.434,8.653,7,3.286,0.467,3.816,124.5,7.312,0,,
26,390000,30.7,64.0,211.058,699.214,14.613,33,64.871,9.145,6,3.167,0.4,3.6,202.385,5.385,0,,
27,405000,27.038,64.0,174.5,764.57,20.242,36,60.38,11.462,2,3.0,0.133,4.456,92.0,0.25,0,,
28,420000,27.734,64.0,182.423,742.886,15.276,25,58.329,7.782,6,3.333,0.4,4.139,207.857,6.714,0,,
29,435000,32.079,64.0,385.703,1587.947,45.328,25,65.737,3.378,0,,0.0,3.974,,,2,104.0,1.0
30,450000,28.593,64.0,539.269,1277.741,6.954,24,60.0,6.577,1,3.0,0.067,2.593,243.0,6.0,0,,
31,465000,40.698,64.0,277.5,1043.566,10.84,22,58.491,7.423,3,3.333,0.2,3.642,249.0,4.429,0,,
32,480000,46.281,64.0,261.286,815.386,7.642,28,61.509,7.054,2,3.0,0.133,3.561,225.5,6.25,1,49.0,2.0
33,495000,43.6,64.0,271.741,982.418,12.059,27,56.182,5.944,3,3.0,0.2,3.8,122.833,3.5,0,,
34,510000,35.067,64.0,473.655,1415.8,8.381,25,56.033,4.621,0,,0.0,3.133,,,0,,
35,525000,25.241,64.0,458.357,1551.517,14.07,25,60.655,5.929,1,3.0,0.067,3.483,62.5,4.5,0,,
36,540000,49.435,64.0,357.955,714.348,2.272,32,57.478,4.591,0,,0.0,2.304,,,1,118.0,2.0
