event_id,time_ms,tick,note,note_name,velocity_on,time_off_ms,tick_off,velocity_off,duration_ms
0,0,42,57,A3,33,1821,450,3,1821
1,40,51,72,C5,42,929,250,26,888
2,89,62,69,A4,28,1629,407,7,1540
3,107,66,76,E5,37,1411,358,47,1304
4,152,76,79,G5,35,1442,365,5,1290
5,210,89,84,C6,37,911,246,53,701
6,1071,282,86,D6,52,1241,320,57,170
7,1402,356,84,C6,55,1679,418,29,277
8,1768,438,78,F#5,46,1951,479,44,183
9,1772,439,72,C5,37,2580,620,39,808
10,1781,441,62,D4,44,3679,866,28,1897
11,1879,463,79,G5,53,2009,492,33,129
12,1929,474,81,A5,53,2259,548,46,330
13,2210,537,79,G5,49,2580,620,36,371
14,2509,604,78,F#5,59,2821,674,56,312
15,2821,674,74,D5,57,3152,748,24,330
16,3112,739,76,E5,57,3402,804,37,290
17,3348,792,78,F#5,53,3598,848,42,250
18,3759,884,67,G4,41,5772,1335,15,2013
19,3790,891,83,B5,50,4540,1059,5,750
20,4121,965,55,G3,60,5790,1339,29,1670
21,4442,1037,71,B4,47,5379,1247,31,937
22,4741,1104,74,D5,57,5201,1207,5,460
23,5009,1164,78,F#5,39,5321,1234,36,312
24,5259,1220,83,B5,46,5420,1256,46,161
25,5701,1319,60,C4,36,6656,1533,57,955
26,5759,1332,72,C5,35,6879,1583,29,1121
27,5781,1337,76,E5,53,7379,1695,5,1598
28,5839,1350,79,G5,33,7812,1792,31,1973
29,5929,1370,83,B5,35,7951,1823,7,2022
30,6759,1556,60,C4,63,7562,1736,41,804
31,7790,1787,66,F#4,50,10031,2289,44,2241
32,8138,1865,72,C5,53,8478,1941,29,339
33,8411,1926,76,E5,53,8821,2018,36,411
34,8719,1995,78,F#5,48,8911,2038,53,192
35,8741,2000,72,C5,42,9451,2159,33,710
36,8812,2016,79,G5,42,9031,2065,46,219
37,8991,2056,81,A5,52,9281,2121,36,290
38,9232,2110,79,G5,58,9701,2215,46,469
39,9621,2197,78,F#5,53,10112,2307,19,491
40,9920,2264,59,B3,55,11661,2654,46,1741
41,10281,2345,69,A4,48,10741,2448,46,460
42,10540,2403,75,D#5,36,10741,2448,57,201
43,10942,2493,78,F#5,60,11272,2567,57,330
44,10951,2495,75,D#5,60,11281,2569,41,330
45,10951,2495,69,A4,56,11710,2665,26,759
46,11259,2564,79,G5,49,11589,2638,33,330
47,11540,2627,78,F#5,44,11661,2654,53,121
48,11871,2701,52,E3,46,15062,3416,35,3192
49,11969,2723,64,E4,31,12179,2770,5,210
50,11969,2723,71,B4,46,12281,2793,26,312
51,11978,2725,74,D5,36,12321,2802,23,344
52,12022,2735,76,E5,13,12540,2851,5,518
53,12062,2744,79,G5,23,12420,2824,26,357
54,12281,2793,64,E4,52,13022,2959,39,741
55,12558,2855,71,B4,44,12772,2903,29,214
56,12911,2934,74,D5,59,13330,3028,24,420
57,12920,2936,79,G5,56,13451,3055,5,531
58,12920,2936,76,E5,62,13571,3082,24,652
59,12929,2938,71,B4,58,13241,3008,35,312
60,13250,3010,64,E4,47,14170,3216,24,920
61,13531,3073,71,B4,36,13687,3108,24,156
62,13920,3160,83,B5,41,14420,3272,41,500
63,13929,3162,71,B4,53,14290,3243,36,362
64,13929,3162,74,D5,49,14290,3243,37,362
65,13937,3164,76,E5,57,14299,3245,5,362
66,14661,3326,76,E5,47,14969,3395,26,308
67,14687,3332,64,E4,53,15121,3429,54,433
68,14844,3367,78,F#5,53,15129,3431,42,286
69,15129,3431,79,G5,57,15469,3507,13,339
70,15629,3543,57,A3,50,17638,3993,23,2009
71,15710,3561,72,C5,47,16000,3626,35,290
72,15719,3563,69,A4,29,15848,3592,36,129
73,15741,3568,76,E5,44,16442,3725,5,701
74,15759,3572,79,G5,36,16491,3736,36,732
75,15812,3584,84,C6,35,16339,3702,48,527
76,16031,3633,69,A4,52,16929,3834,33,897
77,16299,3693,72,C5,36,16429,3722,53,129
78,16652,3772,76,E5,42,17031,3857,35,379
79,16652,3772,79,G5,53,17049,3861,41,397
80,16652,3772,86,D6,55,16862,3819,35,210
81,16991,3848,84,C6,44,17379,3935,36,388
82,17000,3850,72,C5,36,17107,3874,28,107
83,17290,3915,69,A4,42,17621,3989,28,330
84,17612,3987,62,D4,37,17799,4029,39,187
85,17621,3989,72,C5,39,17991,4072,39,371
86,17621,3989,78,F#5,55,18170,4112,3,549
87,17621,3989,81,A5,37,18281,4137,42,661
88,17920,4056,62,D4,58,19482,4406,49,1562
89,18219,4123,72,C5,62,18638,4217,26,420
90,18549,4197,78,F#5,59,18911,4278,42,362
91,18862,4267,79,G5,60,19147,4331,41,286
92,19170,4336,81,A5,57,19500,4410,47,330
93,19491,4408,83,B5,61,19830,4484,41,339
94,19491,4408,55,G3,60,21388,4833,15,1897
95,19772,4471,78,F#5,56,20129,4551,37,357
96,20098,4544,74,D5,50,20451,4623,47,353
97,20098,4544,62,D4,55,21388,4833,3,1290
98,20429,4618,67,G4,54,21348,4824,3,920
99,20437,4620,71,B4,53,21147,4779,15,710
100,20772,4695,74,D5,62,21089,4766,52,317
101,21089,4766,83,B5,46,21442,4845,23,353
102,21388,4833,60,C4,57,22991,5192,44,1603
103,21402,4836,81,A5,31,21759,4916,36,357
104,21701,4903,79,G5,50,22049,4981,35,348
105,22009,4972,76,E5,56,22339,5046,56,330
106,22339,5046,72,C5,58,22732,5134,36,393
