window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,48.154,32.462,585.2,2028.654,56.791,29,70.5,10.8,2,3.0,0.133,3.0,69.75,5.0,0,,
1,15000,63.107,40.393,539.407,1950.5,43.704,30,70.857,9.593,3,3.333,0.2,2.714,68.429,4.286,0,,
2,30000,54.394,48.061,339.219,1424.727,24.857,34,72.121,9.406,1,3.0,0.067,3.303,62.0,5.5,3,60.333,0.667
3,45000,49.474,37.605,374.946,1179.053,37.149,24,74.211,6.649,5,3.0,0.333,3.184,50.2,3.4,7,97.571,1.714
4,60000,54.684,41.816,390.757,1461.605,31.188,25,71.211,8.054,3,3.333,0.2,3.053,50.429,5.714,3,84.667,1.333
5,75000,53.312,40.125,363.419,1592.031,55.834,29,74.219,6.935,6,3.167,0.4,3.0,70.154,5.615,4,90.5,1.0
6,90000,48.651,36.302,309.357,1064.302,39.186,25,73.558,7.952,6,3.5,0.4,2.907,59.6,5.2,3,98.667,1.0
7,105000,38.2,38.08,581.125,2124.12,29.549,29,71.04,8.375,3,3.333,0.2,3.88,79.857,5.857,0,,
8,120000,47.839,38.194,409.833,1551.161,29.39,33,74.903,9.567,2,3.0,0.133,3.29,34.75,6.75,4,66.0,1.0
9,135000,39.88,31.0,606.833,2302.6,22.706,36,77.4,8.375,2,4.0,0.133,3.6,68.333,5.667,1,90.0,1.0
10,150000,43.969,36.719,456.806,1371.375,27.517,22,70.5,9.032,2,3.0,0.133,2.969,86.5,5.5,0,,
11,165000,47.528,36.139,392.857,1548.583,19.043,24,75.611,6.286,2,4.0,0.133,3.361,86.333,4.5,4,72.0,1.5
12,180000,40.794,32.0,351.121,1323.735,33.593,25,74.029,9.303,4,3.75,0.267,3.294,71.0,5.182,0,,
13,195000,52.209,42.116,346.167,1099.512,13.408,29,72.372,7.548,5,3.6,0.333,3.07,73.923,5.231,9,97.0,1.111
14,210000,39.1,19.7,304.222,2384.2,86.528,31,67.6,14.889,1,3.0,0.067,3.4,427.5,5.0,0,,
